frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
40,21.644,7,car,0.25,552,203,614,238,583,220,583,238,44.655327,10.93478,2635,1671
40,21.644,11,car,0.25,554,215,586,240,570,227,570,240,44.655334,10.934775,2622,1651
40,21.644,13,bicycle,0.25,13,366,50,486,31,426,31,486,44.655561,10.934459,1762,1035
40,21.644,14,bicycle,0.25,1270,164,1298,192,1284,178,1284,192,44.654848,10.934691,2392,2971
40,21.644,16,person,0.3386,624,186,639,212,631,199,631,212,44.655235,10.934914,2998,1920
41,22.195,1,car,0.25,67,406,342,592,204,499,204,592,44.65557,10.934376,1538,1010
41,22.195,2,car,0.25,579,264,689,347,634,305,634,347,44.655464,10.934487,1840,1298
41,22.195,3,car,0.25,516,244,600,297,558,270,558,297,44.655427,10.934595,2131,1398
41,22.195,5,car,0.25,489,222,567,267,528,244,528,267,44.655392,10.934685,2377,1493
41,22.195,7,car,0.25,551,204,613,239,582,221,582,239,44.655329,10.934776,2623,1664
41,22.195,11,car,0.25,551,216,582,240,566,228,566,240,44.655335,10.934777,2626,1649
41,22.195,13,bicycle,0.25,15,370,54,487,34,428,34,487,44.655561,10.934458,1759,1035
41,22.195,14,bicycle,0.25,1269,164,1297,192,1283,178,1283,192,44.654849,10.934691,2394,2969
41,22.195,16,person,0.25,624,186,638,212,631,199,631,212,44.655235,10.934914,2998,1920
42,22.761,1,car,0.25,54,410,329,598,191,504,192,598,44.655572,10.934375,1535,1006
42,22.761,2,car,0.25,578,264,688,348,633,306,633,348,44.655465,10.934486,1837,1295
42,22.761,3,car,0.25,519,243,604,297,561,270,561,297,44.655427,10.934594,2129,1399
42,22.761,5,car,0.25,489,222,567,268,528,245,528,268,44.655394,10.934682,2368,1489
42,22.761,7,car,0.25,547,206,607,240,577,223,577,240,44.655333,10.934773,2615,1655
42,22.761,11,car,0.25,547,217,577,241,562,229,562,241,44.655338,10.934774,2618,1641
42,22.761,13,bicycle,0.25,17,373,57,484,37,428,37,484,44.65556,10.934459,1764,1037
42,22.761,14,bicycle,0.25,1268,165,1296,192,1282,178,1282,192,44.654849,10.934693,2397,2968
43,23.308,1,car,0.25,42,412,320,604,181,508,181,604,44.655573,10.934374,1532,1003
43,23.308,2,car,0.25,578,265,686,349,632,307,632,349,44.655466,10.934485,1834,1293
43,23.308,3,car,0.25,518,243,605,298,561,270,561,298,44.655428,10.934592,2123,1396
43,23.308,5,car,0.25,489,222,566,269,527,245,528,269,44.655395,10.934679,2360,1485
43,23.308,7,car,0.25,544,207,602,239,573,223,573,239,44.655331,10.934779,2632,1659
43,23.308,11,car,0.25,544,218,573,241,558,229,558,241,44.655339,10.934775,2622,1639
43,23.308,13,bicycle,0.25,22,376,63,482,42,429,42,482,44.65556,10.93446,1766,1039
43,23.308,14,bicycle,0.25,1267,165,1295,193,1281,179,1281,193,44.654861,10.934686,2378,2935
44,23.847,1,car,0.25,28,419,304,611,166,515,166,611,44.655574,10.934373,1529,999
44,23.847,2,car,0.25,578,269,681,349,629,309,630,349,44.655466,10.934486,1835,1293
44,23.847,3,car,0.25,519,243,607,299,563,271,563,299,44.655429,10.934589,2115,1393
44,23.847,5,car,0.25,491,222,565,269,528,245,528,269,44.655395,10.934679,2360,1485
44,23.847,7,car,0.25,540,207,597,239,568,223,569,239,44.655332,10.934781,2636,1657
44,23.847,11,car,0.25,541,219,568,241,554,230,554,241,44.655339,10.934777,2626,1637
44,23.847,13,bicycle,0.25,27,377,69,479,48,428,48,479,44.655559,10.934462,1770,1041
44,23.847,14,bicycle,0.25,1266,165,1294,193,1280,179,1280,193,44.654862,10.934686,2380,2934
45,24.383,1,car,0.25,11,424,289,618,150,521,150,618,44.655576,10.934372,1526,995
45,24.383,2,car,0.25,576,268,681,350,628,309,628,350,44.655467,10.934485,1833,1290
45,24.383,3,car,0.25,522,243,612,300,567,271,567,300,44.65543,10.934585,2106,1392
45,24.383,5,car,0.25,493,220,568,268,530,244,531,268,44.655394,10.934681,2366,1490
45,24.383,7,car,0.25,532,208,592,241,562,224,562,241,44.655338,10.934774,2618,1641
45,24.383,11,car,0.25,537,220,564,241,550,230,551,241,44.65534,10.934778,2629,1635
45,24.383,13,bicycle,0.25,34,368,79,474,56,421,56,474,44.655557,10.934464,1777,1045
45,24.383,14,bicycle,0.25,1265,166,1293,193,1279,179,1279,193,44.654863,10.934687,2382,2932
45,24.383,17,car,0.714,501,215,578,264,539,239,539,264,44.655386,10.934691,2394,1511
45,24.383,18,car,0.4919,506,208,589,245,547,226,547,245,44.655349,10.934761,2584,1610
46,24.931,1,car,0.25,-1,428,279,624,139,526,138,624,44.655577,10.934371,1524,992
46,24.931,2,car,0.25,575,271,677,351,626,311,626,351,44.655468,10.934484,1831,1288
46,24.931,3,car,0.25,524,243,615,301,569,272,569,301,44.655431,10.934583,2099,1389
46,24.931,5,car,0.25,494,220,570,269,532,244,532,269,44.655395,10.934677,2356,1487
46,24.931,7,car,0.25,525,210,584,243,554,226,554,243,44.655344,10.934768,2601,1625
46,24.931,11,car,0.25,534,221,559,241,546,231,547,241,44.655341,10.934779,2633,1633
